pk,movie_id,director_id
203,790496,588822
204,575322,3183304
205,717728,66212
206,916224,74091
207,599019,1265147
208,1101799,45552
209,438695,52842
210,808,5524
211,808,12058
212,1045944,81589
213,1045944,3184902
214,873126,998309
215,851644,2378215
216,732459,61703
217,955991,588663
218,1104191,4026217
219,760204,57581
220,298618,1113116
221,404250,1208424
222,1093349,2714246
223,740952,17211
224,78428,235189
225,118412,1056311
226,877269,227439
227,245891,40644
228,792775,2961971
229,399566,98631
230,993621,142947
231,585083,70652
232,585083,2093022
233,965839,583932
234,337404,50767
235,566525,1144604
236,931954,54525
237,830784,60922
238,830784,60923
239,744276,1448492
240,105905,82464
241,109428,932248
242,1035806,2613318
243,580489,1333
244,845659,1448492
245,113082,1056311
246,216015,1137903
247,338958,20739
248,91314,865
249,370172,87257
250,989473,107794
251,801071,1976339
252,964913,1049745
253,10144,15810
254,10144,15811
255,728754,43652
256,728754,1311591
257,112355,68662
258,112355,583003
259,960258,1088096
260,760104,101542
261,324786,2461
262,760741,67813
263,106646,1032
264,876797,1360022
265,1040603,60007
266,1040603,126145
267,290271,1321076
268,799379,1294527
269,337167,15890
270,406759,6046
271,671,10965
272,739405,956
273,45491,235180
274,549294,583479
275,549294,1074560
276,779782,116805
277,782936,1284692
278,829557,88253
279,829557,1192152
280,267805,238757
281,756999,55499
282,24428,12891
283,767,11343
284,619329,584295
285,585,12890
286,996727,45996
287,752623,174313
288,752623,931525
289,760161,62768
290,852046,78207
291,579974,147021
292,946700,1525660
293,946700,2525861
294,1058699,19012
295,836225,1190581
296,238,1776
297,580116,237306
298,1001835,1039689
299,458220,26473
300,338953,11343
301,539681,89027
302,676701,1074721
303,438631,137427
304,877703,52968
305,916605,2441040
306,508943,930567
307,524434,1395183
308,2062,7087
309,697843,1120883
310,143310,1038477
311,751741,1365066
312,287590,86978
313,131631,10943
314,652574,1766723
315,299534,19271
316,299534,19272
317,615777,136495
318,813726,1308925
319,610150,2403335
320,848058,1987284
321,38757,76595
322,38757,121830
323,791373,15217
324,934131,3001518
325,672,10965
326,87584,85808
327,460465,1828590
328,1024546,2613318
329,8587,15812
330,8587,18898
331,324857,59918
332,324857,151007
333,324857,936670
334,14836,57646
335,526896,125738
336,764,7623
337,218746,1766705
338,862,7879
339,315635,1293994
340,943221,1309478
341,924482,572295
342,436969,15218
343,11688,61411
344,12445,11343
345,826753,1504645
346,744,893
347,661374,67367
348,354912,8
349,12444,11343
350,1018403,94177
351,643215,19866
352,683328,235430
353,1037858,1234311
354,960704,70103
355,235331,548478
356,629176,1299642
357,642885,29214
358,674,10723
359,790409,258498
360,545611,1317730
361,545611,1383612
362,1865,17633
363,673,11218
364,1090328,232245
365,405871,60744
366,1013870,141673
367,228150,19769
368,906221,1884
369,82386,1255731
370,675054,964826
371,293660,55252
372,177572,70238
373,177572,227439
374,542196,1855244
375,476669,957
376,45288,1715773
377,862965,1099792
378,718789,7929
379,372058,74091
380,198663,1179066
381,626735,38673
382,626735,1074867
383,86331,128712
384,1930,87742
385,726759,76965
386,597,2710
387,939210,2435262
388,529203,1450348
389,637649,956
390,537915,1586194
391,102382,87742
392,520763,17697
393,303857,1083452
394,423108,1607672
395,639933,138781
396,150540,12890
397,1071806,2262811
398,545609,1120883
399,1100962,1878578
400,459151,18864
401,9607,58164
402,9607,58165
403,675,11343
404,526811,1035304
405,916386,57364
406,916386,3631024
407,588228,144816
408,615173,557736
409,99861,12891
410,335988,865
411,278,4027
412,28152,99875
413,774825,5718
414,809,5524
