pk,movie_id,keyword_id
368,296271,230097
369,296271,256183
370,869626,10121
371,869626,11800
372,869626,18035
373,869626,194258
374,869626,197349
375,869626,208349
376,869626,254730
377,869626,268132
378,849869,782
379,849869,2708
380,849869,12366
381,849869,14768
382,849869,240315
383,849869,275347
384,536554,310
385,536554,9707
386,536554,12335
387,536554,13014
388,536554,13063
389,536554,13140
390,536554,14544
391,536554,14857
392,536554,33630
393,536554,33646
394,536554,156175
395,536554,163957
396,536554,164162
397,536554,168490
398,536554,183239
399,536554,212661
400,536554,240764
401,631842,818
402,631842,2858
403,631842,6150
404,631842,10150
405,631842,12332
406,631842,14903
407,631842,158718
408,631842,179430
409,631842,185927
410,631842,228163
411,631842,264384
412,631842,271167
413,631842,310118
414,758009,13027
415,758009,18233
416,943822,209476
417,1079078,818
418,1079078,9663
419,1079078,187056
420,1079078,192687
421,774752,65
422,774752,6562
423,774752,9715
424,774752,11478
425,774752,12200
426,774752,179430
427,774752,180547
428,774752,255088
429,774752,273278
430,774752,307667
431,385128,3428
432,385128,9663
433,385128,10235
434,385128,179431
435,385128,238783
436,385128,243959
437,325358,830
438,325358,9755
439,325358,11931
440,118340,1612
441,118340,9717
442,118340,9882
443,118340,13014
444,118340,175428
445,118340,179430
446,118340,179431
447,118340,180547
448,730629,207268
449,676710,818
450,676710,977
451,676710,11187
452,676710,186811
453,676710,189359
454,676710,249989
455,676710,250914
456,676710,309269
457,676710,310034
458,265712,13141
459,265712,209569
460,634649,242
461,634649,697
462,634649,797
463,634649,1308
464,634649,1701
465,634649,2343
466,634649,3289
467,634649,3851
468,634649,7002
469,634649,7939
470,634649,9663
471,634649,9715
472,634649,155030
473,634649,156282
474,634649,158456
475,634649,169909
476,634649,179430
477,634649,179431
478,634649,180547
479,634649,188178
480,634649,193946
481,634649,221309
482,634649,265979
483,634649,283844
484,634649,285365
485,634649,285485
486,1011679,305
487,1011679,2988
488,1011679,3993
489,1011679,14626
490,1011679,15097
491,1011679,202647
492,1011679,275067
493,384018,212
494,384018,1865
495,384018,3271
496,384018,7629
497,384018,15285
498,384018,18187
499,384018,167541
500,384018,176776
501,384018,179430
502,384018,179431
503,384018,222863
504,384018,240237
505,384018,240303
506,384018,240485
507,616037,1595
508,616037,1701
509,616037,2036
510,616037,9663
511,616037,9715
512,616037,9717
513,616037,173125
514,616037,179101
515,616037,179430
516,616037,179431
517,616037,180547
518,616037,225679
519,616037,230105
520,616037,240145
521,616037,262626
522,616037,265839
523,616037,304843
524,616037,317743
525,1003579,6158
526,1003579,9715
527,1003579,9717
528,1003579,10770
529,1003579,15001
530,1003579,68646
531,1003579,157155
532,1003579,158456
533,1003579,180734
534,1003579,229863
535,1003579,244895
536,620705,7312
537,620705,10683
538,620705,155939
539,620705,157265
540,620705,244256
541,701952,155477
542,985939,209439
543,820232,194008
544,820232,210024
545,361743,2533
546,361743,4410
547,361743,9663
548,361743,160381
549,361743,162365
550,875104,779
551,875104,780
552,875104,12354
553,875104,33402
554,667538,9951
555,667538,10150
556,667538,10244
557,667538,10542
558,667538,14544
559,667538,210608
560,635302,1721
561,635302,2343
562,635302,2800
563,635302,6152
564,635302,10292
565,635302,10349
566,635302,10614
567,635302,10683
568,635302,13141
569,635302,15001
570,635302,15126
571,635302,18035
572,635302,157512
573,635302,177895
574,635302,207826
575,635302,210024
576,635302,254547
577,507086,9663
578,507086,11100
579,507086,12616
580,507086,170865
581,507086,197063
582,507086,242578
583,1003580,9715
584,1003580,9717
585,1003580,11239
586,1003580,155030
587,776835,2857
588,776835,11112
589,843794,310
590,843794,402
591,843794,2964
592,843794,3070
593,843794,4565
594,843794,14544
595,843794,236590
596,843794,273967
597,984105,2904
598,1013860,798
599,1013860,9675
600,1013860,9717
601,1013860,192945
602,1013860,273294
603,168259,830
604,168259,3428
605,168259,9666
606,168259,9748
607,168259,40870
608,168259,205399
609,337339,242
610,337339,339
611,337339,9663
612,337339,9666
613,337339,10085
614,337339,11107
615,337339,18023
616,337339,155755
617,453395,2343
618,453395,9715
619,453395,9717
620,453395,156282
621,453395,179430
622,453395,179431
623,453395,180547
624,453395,221309
625,842544,697
626,842544,15011
627,842544,15218
628,842544,222318
629,299536,2343
630,299536,2858
631,299536,9715
632,299536,9717
633,299536,9882
634,299536,10141
635,299536,14900
636,299536,15252
637,299536,33637
638,299536,179430
639,299536,180547
640,299536,231295
641,458156,242
642,458156,779
643,458156,1623
644,458156,1629
645,458156,2908
646,458156,3271
647,458156,4553
648,458156,7041
649,458156,8045
650,458156,9663
651,458156,10291
652,458156,13116
653,458156,206041
654,458156,252153
655,458156,257090
656,675353,9663
657,675353,41645
658,675353,179431
659,675353,208927
660,675353,209220
661,966220,1295
662,966220,3023
663,966220,244797
664,966220,252606
665,966220,257783
666,966220,272265
667,966220,273967
668,966220,294795
669,966220,301386
670,820067,704
671,820067,5923
672,820067,9194
673,820067,9840
674,820067,9914
675,820067,10873
676,820067,13141
677,820067,210024
678,766507,414
679,766507,4862
680,766507,9675
681,766507,9951
682,766507,10322
683,766507,10468
684,766507,11181
685,766507,15162
686,766507,157513
687,766507,158175
688,766507,179419
689,766507,186497
690,766507,215162
691,766507,269485
692,766507,287699
693,766507,301974
694,676547,745
695,676547,2626
696,676547,157008
697,676547,161261
698,668482,291
699,668482,295
700,668482,417
701,668482,516
702,668482,2343
703,668482,4344
704,668482,5086
705,668482,5561
706,668482,9714
707,668482,10181
708,668482,15025
709,668482,15101
710,668482,18020
711,668482,154884
712,668482,162936
713,668482,195323
714,668482,208774
715,668482,225466
716,668482,229809
717,668482,235333
718,668482,262278
719,736526,1262
720,736526,5457
721,736526,13031
722,736526,192687
723,736526,263706
724,646385,2013
725,646385,2546
726,646385,3298
727,646385,9826
728,646385,10714
729,646385,11612
730,646385,12339
731,646385,12570
732,646385,17987
733,646385,155808
734,646385,161184
735,646385,177695
736,646385,207046
737,646385,220266
738,646385,220455
739,646385,234906
740,646385,241738
741,646385,260905
742,646385,283118
743,411,83
744,411,380
745,411,616
746,411,818
747,411,1430
748,411,1442
749,411,1990
750,411,2042
751,411,2043
752,411,3205
753,411,6917
754,411,9887
755,411,14643
756,411,15101
757,411,170362
758,411,179431
759,411,207883
760,411,211227
761,411,246466
762,411,267657
763,411,269233
764,874745,818
765,874745,33465
766,874745,210024
767,937278,818
768,937278,1252
769,937278,9714
770,937278,9856
771,937278,17986
772,937278,18127
773,937278,159103
774,937278,207937
775,937278,208397
776,937278,227824
777,937278,251821
778,937278,288989
779,988233,4679
780,988233,9853
781,988233,10287
782,585511,4671
783,585511,6156
784,585511,10159
785,585511,11322
786,663712,3199
787,663712,3335
788,663712,6506
789,663712,9663
790,663712,10292
791,663712,12339
792,663712,15127
793,663712,176691
794,663712,179431
795,663712,191327
796,663712,232795
797,663712,296359
798,663712,306196
799,884184,14999
800,884184,231172
801,884184,239680
802,884184,250593
803,324552,131
804,324552,1419
805,324552,2405
806,324552,2708
807,324552,3271
808,324552,9663
809,324552,172872
810,414906,853
811,414906,1308
812,414906,2334
813,414906,6083
814,414906,6149
815,414906,6259
816,414906,7002
817,414906,9715
818,414906,9717
819,414906,10291
820,414906,10714
821,414906,33626
822,414906,154954
823,414906,161982
824,414906,179430
825,414906,180734
826,414906,181659
827,414906,207268
828,414906,232766
829,414906,272385
830,826942,131
831,826942,6876
832,826942,8032
833,826942,287249
834,850871,230049
835,850871,256159
836,850871,256189
837,850871,257318
838,850871,268809
839,850871,284155
840,850871,309264
841,988165,818
842,988165,1447
843,988165,5711
844,988165,156866
845,988165,208535
846,988165,270326
