pk,movie_id,genre_id
209,676710,12
210,676710,35
211,676710,10751
212,676710,14
213,265712,16
214,265712,10751
215,265712,878
216,265712,14
217,634649,28
218,634649,12
219,634649,878
220,1011679,28
221,1011679,878
222,1011679,53
223,1011679,27
224,1023313,27
225,384018,28
226,384018,12
227,384018,35
228,616037,14
229,616037,28
230,616037,35
231,1003579,16
232,1003579,14
233,1003579,27
234,1003579,28
235,1003579,9648
236,620705,878
237,620705,28
238,620705,12
239,620705,10751
240,701952,10749
241,985939,53
242,820232,28
243,820232,16
244,820232,14
245,361743,28
246,361743,18
247,1076605,53
248,875104,28
249,875104,12
250,875104,36
251,875104,18
252,1120558,35
253,1084225,28
254,1084225,18
255,1084225,27
256,1084225,878
257,1084225,53
258,667538,28
259,667538,12
260,667538,878
261,635302,16
262,635302,28
263,635302,12
264,635302,14
265,635302,53
266,507086,12
267,507086,28
268,507086,878
269,1003580,16
270,1003580,28
271,1003580,878
272,776835,16
273,776835,12
274,776835,10751
275,776835,14
276,843794,878
277,984105,27
278,1013860,28
279,1013860,35
280,1013860,14
281,1013860,80
282,507250,28
283,507250,53
284,168259,28
285,168259,53
286,168259,80
287,337339,28
288,337339,80
289,337339,53
290,453395,14
291,453395,28
292,453395,12
293,842544,80
294,299536,12
295,299536,28
296,299536,878
297,458156,28
298,458156,53
299,458156,80
300,675353,28
301,675353,12
302,675353,10751
303,675353,35
304,966220,10752
305,966220,28
306,966220,18
307,820067,16
308,820067,35
309,820067,10749
310,1041513,10402
311,873256,10749
312,873256,35
313,766507,53
314,766507,28
315,766507,878
316,676547,27
317,676547,53
318,668482,10751
319,668482,35
320,668482,14
321,1077280,28
322,1077280,35
323,1077280,53
324,736526,14
325,736526,28
326,736526,12
327,736526,53
328,676841,35
329,676841,10749
330,646385,27
331,646385,9648
332,646385,53
333,1064841,35
334,411,12
335,411,10751
336,411,14
337,874745,16
338,874745,10749
339,874745,878
340,937278,35
341,937278,18
342,988233,28
343,988233,27
344,988233,53
345,1070629,35
346,1070629,18
347,1070629,10749
348,585511,16
349,585511,12
350,585511,35
351,585511,14
352,663712,27
353,884184,27
354,884184,53
355,324552,28
356,324552,53
357,324552,80
358,414906,80
359,414906,9648
360,414906,53
361,826942,10749
362,826942,35
363,850871,28
364,988165,27
365,60898,14
366,60898,18
367,60898,27
368,947938,16
369,947938,12
370,947938,14
371,947938,35
372,1087040,99
373,899112,28
374,899112,35
375,899112,80
376,899112,53
377,650270,16
378,650270,35
379,573171,16
380,573171,12
381,573171,35
382,573171,10751
383,724495,28
384,724495,18
385,724495,36
386,947704,16
387,947704,10751
388,947704,12
389,874743,16
390,874743,10749
391,874743,878
392,829560,10749
393,829560,18
394,230622,16
395,230622,18
396,1121116,16
397,1121116,10751
398,1121116,878
399,1121116,35
400,846433,28
401,846433,80
402,846433,18
403,846433,53
404,964426,10752
405,964426,28
406,964426,12
407,964426,53
408,198380,35
409,198380,10749
410,555604,16
411,555604,14
412,555604,18
413,555604,10402
414,19995,28
415,19995,12
416,19995,14
417,19995,878
418,987257,18
419,987257,36
420,1058732,16
421,1058732,10751
422,1058732,35
423,615656,28
424,615656,878
425,615656,27
426,49046,18
427,49046,10752
428,49046,36
429,568124,16
430,568124,35
431,568124,10751
432,568124,14
433,785084,18
434,823999,80
435,823999,28
436,438148,16
437,438148,35
438,438148,10751
439,508947,16
440,508947,10751
441,508947,35
442,508947,14
443,1072074,53
444,1072074,27
445,1072074,9648
446,345940,28
447,345940,878
448,345940,27
449,1073413,35
450,1073413,27
451,1073413,53
452,1026563,18
453,1026563,27
454,9453,18
455,9453,36
456,9453,10749
457,842942,80
458,842942,18
459,842942,53
460,1012404,16
461,1012404,14
462,1012404,12
463,157336,12
464,157336,18
465,157336,878
466,660653,10749
467,718930,28
468,718930,35
469,718930,53
470,653851,10752
471,653851,18
472,653851,28
473,569094,16
474,569094,28
475,569094,12
476,569094,878
477,942199,878
478,942199,53
479,335787,28
480,335787,12
481,726274,18
482,726274,12
483,726274,14
484,983768,28
485,983768,53
486,829410,27
487,829410,53
488,882598,27
489,882598,9648
490,882598,53
491,1058949,53
492,1058949,28
493,1058949,18
494,1058949,80
495,551271,28
496,551271,18
497,551271,36
498,772515,18
499,772515,27
500,772515,9648
501,1016121,10749
502,1016121,18
503,1016121,35
504,790496,35
505,575322,878
506,575322,27
507,717728,27
508,717728,53
509,717728,9648
510,916224,16
511,916224,18
512,916224,12
513,916224,14
514,599019,16
515,599019,10751
516,599019,12
517,599019,35
518,1101799,35
519,1101799,28
520,438695,16
521,438695,10751
522,808,16
523,808,35
524,808,14
525,808,12
526,808,10751
527,1045944,16
528,1045944,10751
529,1045944,12
530,873126,28
531,873126,80
532,873126,53
533,851644,10749
534,851644,18
535,732459,14
536,955991,18
537,955991,27
