id,name,profile_path
88253,Barbara Białowąs,/vhf5l82ItqfVTwioqlZv1ab0v19.jpg
1192152,Tomasz Mandes,/wmYwPfWSXfjXpwvljvXEX8h0wfC.jpg
570239,Hiroyasu Ishida,/yeT7rJz2VxAbHqsa8wdaKWz3FIH.jpg
197,David Silverman,/rfbJ0PUQsdggzWlLCdjdywDA7VV.jpg
1855425,Richard Hughes,None
142005,Hallvard Bræin,/tHe0mKzy56TZBULdBzaADbFLwFl.jpg
239315,Silvio Amadio,None
10828,Guillermo del Toro,/gldeyCtKcaqnK1v4Vu9vqayhzUQ.jpg
1245934,Mark Gustafson,/84ASwEwmYzbV6Yqp8Y539G16tif.jpg
2710,James Cameron,/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg
146801,Martin Guigui,None
197,David Silverman,/rfbJ0PUQsdggzWlLCdjdywDA7VV.jpg
137467,Ben Wheatley,/1AXTZ4f4LqXJXv2Yk1aLn9IxYvP.jpg
221522,Edward Berger,/aBpMZi6vqvY9tacRIALPnXpde2t.jpg
76595,Byron Howard,/ePJXkxrD44nM0VB7Xx9Q4ityzfT.jpg
1318201,Jared Bush,/2gIwj1cnqZIKWaFg0ihmZnuZypR.jpg
6431,Darren Aronofsky,/tOjz8mVI2HeQBvU6KNjIExMBsXL.jpg
129627,Antonio Manetti,/isbb4gEK4AKp1JcD8tL4qEX8ku1.jpg
129628,Marco Manetti,/hdTxWCnCr2BYXDkEcfs5beGNRD6.jpg
8023,Kyle Balda,/uay7ZJLuW47ClGfQ4FGWgXZOerv.jpg
2009739,Domee Shi,/qswD23e2Hx91SiaxyiLZHz8glNu.jpg
101233,Michael Winnick,None
12962,Jon Turteltaub,/embHCkQj1fs1PaISQSQQbi9TjHj.jpg
588816,Carlos Therón,None
2562314,Jacobo Martínez,None
58021,Tinto Brass,/adQ1j2FQ1FZ67hlZVhsUnALM4G4.jpg
1297488,Allan Ungar,/kYaklrhmyLtvwwKeLrs8AerBYtP.jpg
1362698,Tomohiko Ito,None
525,Christopher Nolan,/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg
2499096,Choi Sung-gil,None
40684,David Leitch,/qykhwWkXTAteD9yvsmItXh9LxCq.jpg
1485406,J.D. Dillard,/hV0gaQAWxLszLuzA1n3i0frWQhk.jpg
89596,Joaquim Dos Santos,/pMJQqL9kYHlZIw3pgJYpFOMGTBq.jpg
1046497,Justin K. Thompson,/xGd7wF8E5ItRgUqHSGnzadGzqJM.jpg
2451598,Kemp Powers,/4fMeoj58Wz7P8U1BDaEWgJDqKHL.jpg
545330,April Mullen,/kkpPBHkeKEa0CXsUEP11hOh6htk.jpg
91268,Ruben Fleischer,/3JLxOPFTLigSy8FjFjDyMwD9GIp.jpg
1428818,Paul Urkijo Alijo,/oKPZnPmPJgIGi8CXw0xoDciCfvJ.jpg
42309,Tibor Takács,/6W3KQ7vcNEs1hOFCkGq9TyeXLFo.jpg
62941,John Hyams,/7NosT6z5tAM0HlujmIyLpKJckAy.jpg
2218465,Parker Finn,/2HZPv0IUlxRqCpmgbk7KdovhQaF.jpg
1504645,John Swab,None
53348,Petr Jákl,/8zi7MXdHXWBIP6IuMFZB1HdWnGX.jpg
1659084,Michelle Garza Cervera,/6Wpj63gqgCw5YqstNWnTit7I5Xh.jpg
11873,Roger Kumble,/njVOmV33aCFRUlBxxLXzLbrmAUS.jpg
588822,Radu Jude,/rOYPp2WUIvWB2HXNIICT44jB7CY.jpg
3183304,Serik Beyseu,None
66212,Timo Vuorensola,/pMxmMdBh5JyV5Uevy4eaAsrJiM7.jpg
74091,Makoto Shinkai,/mSCk6PmAR99bCsKJYlMx94vq5qe.jpg
1265147,Vasiliy Rovenskiy,/tzHUJ2ElcNkvrG8auKtCElzc7r0.jpg
45552,Jorge Macaya,None
52842,Garth Jennings,/zl6ZWijGySSIYJRFalleAiGkxyQ.jpg
5524,Andrew Adamson,/qqIAVKAe5LHRbPyZUlptsqlo4Kb.jpg
12058,Vicky Jenson,/dDSlofPZbJxtYBO2f73XjNwcFVT.jpg
81589,Matt Engstrom,None
3184902,Christo Stamboliev,None
998309,Cosimo Gomez,/6iYN2GwwenrkDzwrttHLgMCKXvg.jpg
2378215,Bang Woo-ri,/ofaTg8VN5NniUjEyLnB9q5BWHcR.jpg
61703,Ron Yuan,/7Co2MdR8T5zlXTrdZ9Z3qjlmKdV.jpg
588663,Oliver Park,/6J5wmFLvALgqtaGwC5I8pFLOLFM.jpg
4026217,Mako Graves,None
57581,Neil Marshall,/niiQO8m2fEIdmEBYdawulBSIzwY.jpg
1113116,Andy Muschietti,/vWiAwINWnwr3sZWdLJ7pt6LrUkb.jpg
1208424,Junji Shimizu,/1p7696cWL953UlHfjKwEto6RTt3.jpg
2714246,Steve Daye,None
17211,Randall Emmett,/wlFuKcM85H1TeNjSshBSpjdsEVg.jpg
235189,Peter Ngor,/iTnAqOGMeKO2U5NAOpD9b1Zj6rk.jpg
1056311,Toshiyuki Kubooka,/3wOrZC3R6dRWR0qwpalZtU3W0i8.jpg
227439,Don Hall,/wT8rqrI65ROqwuJUGEv1A0rLoE0.jpg
40644,Chad Stahelski,/eRCryGwKDH4XqUlrdkERmeBWPo8.jpg
2961971,Hannes Þór Halldórsson,None
98631,Adam Wingard,/3Dk4vAmhdb59VTnNRnW1ln52wG6.jpg
142947,Giles Alderson,/hw9PnPfkqA6JrwDhREtB8QtLdTU.jpg
70652,Derek Drymon,/1ZdPd2JaiigVDB7hPxy29RAx9GY.jpg
2093022,Jennifer Kluska,/wpYWJ7Kw5qcXEOZyTuIEsfqMqXq.jpg
583932,Jared Cohn,/nFAa6ebhJtauYprTJmXSaS2LJI0.jpg
50767,Craig Gillespie,/pVHspL9QWsXCm3t3VXEaCJ9y8Zz.jpg
1144604,Destin Daniel Cretton,/s8uAUG9egZlRIU0PKNkTkIz9E6g.jpg
54525,Jaume Balagueró,/geO40SjPO5G7nHn1pRrAGORD7xM.jpg
60922,Josh Gordon,None
60923,Will Speck,None
1448492,Castille Landon,/s1oXtmqyG9X0uDfiU5HidPB6BJx.jpg
82464,Chūsei Sone,/wlD5Lpb1Go7Iai8xvAQixH2stri.jpg
932248,Fede Álvarez,/f8KjBkmqAyNGTUkZh1oYIURP4id.jpg
2613318,Edward Drake,/il6fHejjJ4J7YQt0wKLf7VfpAhN.jpg
1333,Andy Serkis,/eNGqhebQ4cDssjVeNFrKtUvweV5.jpg
1448492,Castille Landon,/s1oXtmqyG9X0uDfiU5HidPB6BJx.jpg
1056311,Toshiyuki Kubooka,/3wOrZC3R6dRWR0qwpalZtU3W0i8.jpg
1137903,Sam Taylor-Johnson,/4iWEBM7B4nANVZcRaID9XHo4tPl.jpg
20739,Adam Shankman,/zZmZgVp5OTU2eSMCDuOXGlQ4fBR.jpg
865,Michael Bay,/8I9H9IKROECFEn7usvyChbRMhbI.jpg
87257,Cary Joji Fukunaga,/qhrtYCUM2NEaqVP3oB7vqkOTpx0.jpg
107794,Stephen Shimek,None
1976339,Lawrence Fowler,None
1049745,Alexandre Lehmann,/riumngni49YhtKBYYEX0WptpMYY.jpg
15810,Ron Clements,/u9k9yg2EGlDsxYo3ehf35yRUfcD.jpg
15811,John Musker,/6scMFCGimXT9S0urLS7I13MFTTL.jpg
43652,Takashi Yamazaki,/2NzSdgQcT7ZtK2YJHHc8Af6kFBL.jpg
1311591,Ryuichi Yagi,/tLR0yJZJjbKvaAHoYtZLLFJVimA.jpg
68662,Andrea Bianchi,/iiJCKpfNJmIACxPQRyDXPIVc1NW.jpg
583003,James Kelley,None
1088096,James Nunn,None
101542,Ti West,/y65ZHU9m830lbdbggxC8eOT123S.jpg
2461,Mel Gibson,/tiEthYwONZGfGPBcY6tGpbqpLFE.jpg
67813,Baltasar Kormákur,/bC9ifwIjsR3VTgJv83Px71mroTl.jpg
1032,Martin Scorsese,/8KlPVWc91TruU0M9urCGqbf1ils.jpg
1360022,Michihito Fujii,/pchTCIDWTzlZ6NsX3WMOYC3PVKy.jpg
60007,Sloane Klevin,None
126145,Sarah Gibson,None
1321076,Naoyuki Itou,None
1294527,Kim Hong-sun,/xvf4c49kDqfXW6Ry1lO9jeF7lGX.jpg
15890,James Foley,/ujAhQvNNnBqa6ZP2C46DMdAp09w.jpg
6046,Roland Emmerich,/mN8x74uv9yQ7dJl8nh2q26mkY8v.jpg
10965,Chris Columbus,/yCyEz90NqjEXKZ7HYcEhDXlLlPc.jpg
956,Guy Ritchie,/9pLUnjMgIEWXi0mlHYzie9cKUTD.jpg
235180,Michael Mak,None
583479,Aaron Moorhead,/plvZ27ya8yxyyqSCHbwBMjFfJwS.jpg
1074560,Justin Benson,/mch4MNcOxVsej3O5ifugkZTFzWI.jpg
116805,Paul Feig,/lcD0BkGKWKynUwtPSEDLAsFdIJX.jpg
1284692,Lorcan Finnegan,/nYozeCILsBo0JUzOLFgXgRc3cBc.jpg
88253,Barbara Białowąs,/vhf5l82ItqfVTwioqlZv1ab0v19.jpg
1192152,Tomasz Mandes,/wmYwPfWSXfjXpwvljvXEX8h0wfC.jpg
238757,Alfonso Pineda Ulloa,None
55499,Scott Derrickson,/nOQkRTC6OPkUHebBfjIgtiZ0hvE.jpg
12891,Joss Whedon,/mVvpZnKYKSCtkOQixQnOonV5kv3.jpg
11343,David Yates,/hAHOxR0NK4cZDumqNIpDoEdGVAh.jpg
584295,Mu Kalanjiyam,/jlcpPPZyFvkyf177qfgd6rxgfo5.jpg
12890,Pete Docter,/3FrYCUsGVDmnJHhiF11Dop6d4k5.jpg
45996,Ryûhei Kitamura,/iitzR6lbdD1sCK2LOoG8Li1Cg30.jpg
174313,Adam Nee,/6mmn1gcZCJR9fO2Wanwjydcp2XF.jpg
931525,Aaron Nee,/iOBmuzOPSDDPRyUIS2CGc7MIQyC.jpg
62768,William Brent Bell,/f7BvvN72ZhESBQ7wrCVw8M4D9by.jpg
78207,Romain Gavras,/4xvuJYg1pRIc12WxnkJYKR7Ency.jpg
147021,S. S. Rajamouli,/g7jXGAVT8T5vq81fO5JWDleDc75.jpg
1525660,Imanol Zinkunegi,None
2525861,Joseba Ponce,None
19012,Davis Guggenheim,/v0uvixJWNvXjur5kXoPDlAkTsEL.jpg
1190581,Alejandro Hidalgo,None
1776,Francis Ford Coppola,/3Pblihd6KjXliie9vj4iQJwbNPU.jpg
237306,Yōichi Higashi,/r3xM4Di9iL9IaRg6DWaMqMj6Gg5.jpg
1039689,James Bird,None
26473,Fisher Stevens,/vfyZMT3t3mGTloYGrC7T3QhGkwp.jpg
11343,David Yates,/hAHOxR0NK4cZDumqNIpDoEdGVAh.jpg
89027,Jared Stern,/zlXrDsxTBXqxhVDW1hDpx7fRYnM.jpg
1074721,Enrique Gato,/7vWBeDSnsWrbVOWQWurCbxTnEs9.jpg
137427,Denis Villeneuve,/zdDx9Xs93UIrJFWYApYR28J8M6b.jpg
52968,Russell Mulcahy,/61VZ3twvslKZir66aLCi5Z5TE2Y.jpg
2441040,Andrew Hunt,None
930567,Enrico Casarosa,/3UzBWIqYw0T0aLkdp6oEyLzWOE0.jpg
1395183,Chloé Zhao,/n0GzBiyx2KzwozZ9irQ8hJlf5By.jpg
7087,Brad Bird,/fGUAHu9rqsCsXqEDfXI0R1iDzZg.jpg
1120883,Sam Hargrave,/mq7KgHiyuwFOvxuEg8p0Z30pybY.jpg
1038477,Shōgorō Nishimura,/AriY3NWTtBuUadAKtDhL2alW9Wk.jpg
1365066,Matt Danner,None
