id,name
9663,sequel
9715,superhero
9717,based on comic
173125,shadow
179101,norse mythology
179430,aftercreditsstinger
179431,duringcreditsstinger
180547,marvel cinematic universe (mcu)
225679,heroes
230105,norse god
240145,god of thunder
262626,colorless
265839,child abduction
304843,thor
317743,nude male lead
6158,cult
9715,superhero
9717,based on comic
10770,mad doctor
15001,demon
68646,supernatural creature
157155,explorer
158456,masked vigilante
180734,masked superhero
229863,ancient evil
244895,magic book
7312,road trip
10683,coming of age
155939,group of friends
157265,moon colony
244256,near future
155477,softcore
209439,sport climbing
194008,edited from tv series
210024,anime
2533,fighter pilot
4410,u.s. navy
9663,sequel
160381,nuclear weapons
162365,military
779,martial arts
780,kung fu
12354,hong kong
33402,wing chun
9951,alien
10150,end of the world
10244,based on cartoon
10542,based on toy
14544,robot
210608,1990s
1721,fight
2343,magic
2800,psychology
6152,supernatural
10292,gore
10349,survival
10614,tragedy
10683,coming of age
13141,based on manga
15001,demon
15126,historical
18035,family
157512,mutilation
177895,dark fantasy
207826,shounen
210024,anime
254547,taisho
9663,sequel
11100,giant monster
12616,dinosaur
170865,child kidnapping
197063,jurassic
242578,animal sanctuary
9715,superhero
9717,based on comic
11239,distant future
155030,superhero team
2857,elephant
11112,search
310,artificial intelligence
402,clone
2964,future
3070,mercenary
4565,dystopia
14544,robot
236590,22nd century
273967,war
2904,mummy
798,sheriff
9675,prequel
9717,based on comic
192945,american west
273294,1870s
830,car race
3428,speed
9666,street race
9748,revenge
40870,race
205399,muscle car
242,new york city
339,submarine
9663,sequel
9666,street race
10085,betrayal
11107,rescue mission
18023,criminal mastermind
155755,mysterious woman
2343,magic
9715,superhero
9717,based on comic
156282,alternate reality
179430,aftercreditsstinger
179431,duringcreditsstinger
180547,marvel cinematic universe (mcu)
221309,multiverse
697,loss of loved one
15011,criminal underworld
15218,special forces
222318,coping mechanisms
2343,magic
2858,sacrifice
9715,superhero
9717,based on comic
9882,space
10141,battlefield
14900,genocide
15252,magical object
33637,super power
179430,aftercreditsstinger
180547,marvel cinematic universe (mcu)
231295,cosmic
242,new york city
779,martial arts
1623,casablanca
1629,morocco
2908,secret society
3271,secret organization
4553,black humor
7041,sahara desert
8045,russian mafia
9663,sequel
10291,organized crime
13116,one man army
206041,professional assassin
252153,baba yaga
257090,dog man friendship
9663,sequel
41645,based on video game
179431,duringcreditsstinger
208927,hedgehog
209220,live action and animation
1295,europe
3023,eastern europe
244797,donbass war
252606,russian invasion of ukraine
257783,2010s
272265,ukraine
273967,war
294795,war in ukraine
301386,russo-ukrainian war
704,adolescence
5923,sister
9194,harem
9840,romance
9914,slice of life
10873,school
13141,based on manga
210024,anime
414,hunter
4862,alien life-form
9675,prequel
9951,alien
10322,native american
10468,bear
11181,decapitation
15162,dog
157513,severed foot
158175,bear attack
179419,comanche
186497,human vs alien
215162,indigenous peoples
269485,severed arm
287699,dog hero
301974,great plains
745,nun
2626,exorcism
157008,catholic church
161261,demonic possession
291,circus
295,library
417,corruption
516,child abuse
2343,magic
4344,musical
5086,telekinesis
5561,child prodigy
9714,remake
10181,based on play or musical
15025,parenting
15101,based on children's book
18020,fantasy sequence
154884,escape artist
162936,precocious child
195323,evil dictator
208774,acrobats
225466,bad parenting
229809,female child abuser
235333,kid genius
262278,abusive family
1262,mountain
5457,mythical creature
13031,creature
192687,oslo norway
263706,norwegian folklore
2013,attempted murder
2546,mask
3298,hallucination
9826,murder
10714,serial killer
11612,hospital
12339,slasher
12570,whodunit
17987,killing spree
155808,hometown
161184,reboot
177695,crime spree
207046,murder mystery
220266,fandom
220455,copycat killer
234906,murder spree
241738,sister sister relationship
260905,retired cop
283118,return to hometown
83,saving the world
380,sibling relationship
616,witch
818,based on novel or book
1430,self sacrifice
1442,winter
1990,cupboard
2042,beaver
2043,lion
3205,fairy tale
6917,epic
9887,surrealism
14643,battle
15101,based on children's book
170362,fantasy world
179431,duringcreditsstinger
207883,1940s
211227,high fantasy
246466,based on young adult novel
267657,faun
269233,good versus evil
818,based on novel or book
33465,parallel world
210024,anime
818,based on novel or book
1252,suicide attempt
9714,remake
9856,flashback
17986,miscarriage
18127,new neighbor
159103,mourning
207937,forced retirement
208397,death of wife
227824,bus accident
251821,grumpy man
288989,transgender character
4679,parachuting
9853,paranormal
10287,skydiving
4671,bad luck
6156,superstition
10159,computer animation
11322,female protagonist
3199,clown
3335,halloween
6506,resurrection
9663,sequel
10292,gore
12339,slasher
15127,killer
176691,killer clown
179431,duringcreditsstinger
191327,evil clown
232795,halloween night
296359,graphic violence
306196,megaslasher
14999,devil
231172,horror mystery
239680,religious horror
250593,horror anthology
131,italy
1419,gun
2405,roof
2708,hitman
3271,secret organization
9663,sequel
172872,handshake
853,crime fighter
1308,secret identity
2334,nightclub
6083,politician
6149,police
6259,psychopath
7002,vigilante
9715,superhero
9717,based on comic
10291,organized crime
10714,serial killer
33626,millionaire
154954,social injustice
161982,murder investigation
179430,aftercreditsstinger
180734,masked superhero
181659,political corruption
207268,neo-noir
232766,vengeance
272385,mayoral election
